"","X","ประเภทสถานศึกษา","ที่ตั้งสถานศึกษา","จำนวนรายวิชาที่ลงทะเบียน","จำนวนรายวิชาonline","จำนวนรายวิชาonsite","ระดับความพร้อมสถานศึกษา","videoConference","Live","LMS","groupChat","email","collapApps","clipVideo","อายุเฉลี่ยผู้สอน","ภาพรวมความสามารถในการใช้สื่อเทคโนโลยีของผู้สอน","climate.online1","climate.online2","climate.online3","climate.onsite1","climate.onsite2","climate.onsite3","เพศผู้เรียน","ระดับชั้น","ภูมิลำเนา","สไตล์การเรียนที่ชอบ","smartphone","ipad","computer","ความพร้อมของinternet","บรรยากาศที่พักอาศัย","ความสามารถผู้เรียนในการใช้เทคโนโลยี","ความคิดเห็นต่อการเรียน","interaction.online1","interaction.online2","interaction.online3","interaction.onsite1","interaction.onsite2","interaction.onsite3","ความเครียดขณะเรียนonline","ความเครียดขณะเรียนonsite","outcome.online1","outcome.online2","outcome.online3","outcome.online4","outcome.onsite1","outcome.onsite2","outcome.onsite3","outcome.onsite4"
"14",14,"โรงเรียนมัธยมศึกษา","กลาง",9,8,1,3,0,0,1,0,1,1,1,1,2,5,4,4,5,3,5,1,1,"กลาง",1,1,1,1,1,1,3,2,5,5,5,2,1,1,2,2,3,5,3,49.8136019675456,1,1,1,20.6581875657102
"15",15,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,2,1,1,0,1,0,1,0,1,3,5,5,5,NA,2,4,2,1,"กลาง",2,1,0,1,1,1,2,3,3,3,3,2,2,2,2,2,1,2,2,38.7581121275035,1,1,1,35.5418644004629
"16",16,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,0,1,1,0,1,0,0,1,3,2,5,5,1,2,2,1,1,"อิสาน",1,1,1,1,1,1,3,2,4,5,5,2,2,NA,3,1,3,3,2,55.4847381001099,2,2,2,44.0541032941024
"17",17,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,1,1,0,0,0,1,1,3,5,3,4,3,NA,2,1,1,"กลาง",1,1,1,1,1,2,NA,2,4,5,4,1,2,2,4,3,1,2,2,39.5471436040718,1,1,1,32.1468205305003
"18",18,"โรงเรียนมัธยมศึกษา","กลาง",8,2,6,1,0,1,1,0,1,1,0,2,3,5,2,3,3,2,1,2,1,"กลาง",1,1,0,1,1,1,1,1,2,3,2,1,2,3,5,3,1,2,1,28.9840515016605,1,2,1,38.2036920398626
"19",19,"โรงเรียนมัธยมศึกษา","กลาง",7,6,1,3,0,1,0,0,1,0,0,1,3,4,5,3,3,NA,1,2,1,"กลาง",1,1,0,0,1,2,1,1,2,2,1,2,2,2,4,2,2,1,2,31.3793321474771,1,2,1,35.858263820172
"20",20,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,1,0,0,1,1,0,1,3,5,5,3,2,2,NA,2,1,"เหนือ",2,1,0,1,1,2,1,3,3,3,3,2,2,3,2,1,1,2,1,27.4072100872522,2,1,NA,46.1835367800512
"21",21,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,4,5,3,1,3,NA,1,1,"กลาง",1,1,1,1,1,1,3,3,3,4,4,2,2,2,2,5,4,3,3,48.3951181076794,1,2,1,48.7998772486462
"22",22,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,0,1,1,0,0,1,1,1,3,4,5,4,NA,3,2,2,1,"เหนือ",2,1,0,1,1,1,2,3,3,3,3,2,1,2,1,1,2,2,1,NA,1,1,1,29.5121733264438
"23",23,"โรงเรียนมัธยมศึกษา","กลาง",8,1,7,3,0,1,1,0,0,1,1,1,3,5,NA,5,2,1,3,1,1,"กลาง",1,1,0,1,1,1,1,3,NA,3,3,2,2,2,5,5,1,1,1,27.335430634601,1,2,1,33.1263781648567
"24",24,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,5,0,0,0,0,0,0,0,1,3,3,4,2,3,5,4,2,1,"กลาง",1,1,0,1,1,2,2,3,3,NA,3,2,1,2,3,5,2,2,1,44.8577683916394,1,2,2,35.005957983698
"25",25,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,0,1,0,0,0,1,1,2,3,3,NA,3,3,4,4,2,1,"กลาง",3,1,1,1,1,2,2,2,3,3,4,2,2,2,3,2,2,2,2,46.3818832258005,2,1,2,50.7649939085884
"26",26,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,5,0,1,0,0,1,1,1,1,3,4,5,5,NA,4,4,1,1,"กลาง",2,1,0,1,1,1,1,3,4,4,4,1,1,1,3,2,1,2,2,49.0561697944528,1,1,1,26.4330923055175
"27",27,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,2,2,2,NA,4,5,4,2,1,"กลาง",1,1,0,1,1,1,2,1,3,3,3,1,1,2,3,1,1,1,1,39.5941567230513,NA,1,2,40.4756706531415
"28",28,"โรงเรียนมัธยมศึกษา","กลาง",9,0,9,1,0,0,0,0,0,0,0,1,2,NA,2,4,4,3,1,1,1,"กลาง",2,1,0,1,1,1,1,1,3,3,3,2,1,1,3,2,2,1,1,43.6366062868699,1,1,1,32.8306406702815
"29",29,"โรงเรียนมัธยมศึกษา","กลาง",8,1,7,2,0,0,1,1,1,1,0,2,2,2,5,4,2,3,2,2,1,"กลาง",2,1,0,1,0,1,2,3,2,2,3,2,2,2,2,5,1,1,1,38.0498339213134,1,1,1,29.1576375519033
"30",30,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,5,1,1,1,0,0,0,1,2,3,4,3,2,4,3,3,1,1,"กลาง",1,1,0,1,NA,1,2,2,3,3,3,2,2,2,4,4,2,2,2,42.0221288270832,1,2,2,32.5273205500153
"31",31,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,4,3,NA,5,5,5,1,1,"กลาง",1,1,1,1,1,1,2,3,3,3,3,2,3,2,5,1,1,3,3,NA,1,1,1,49.0127219594102
"32",32,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,2,3,4,4,3,2,2,1,2,1,"เหนือ",3,1,0,1,NA,1,1,3,2,2,3,3,2,2,2,5,1,2,2,44.2796240125778,2,2,2,47.7550054383664
"33",33,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,3,0,1,1,1,0,1,1,2,3,NA,5,4,4,5,4,2,1,"เหนือ",2,1,0,1,1,1,1,3,4,3,3,3,2,2,5,5,1,1,1,19.2944460478018,1,1,1,27.8180762138698
"34",34,"โรงเรียนมัธยมศึกษา","กลาง",6,6,0,3,1,1,1,1,1,1,0,2,3,3,5,4,5,NA,4,1,1,"กลาง",3,1,1,1,1,1,3,2,3,5,5,2,2,3,1,2,2,3,3,49.3771548940674,1,3,3,53.9127615363148
"35",35,"โรงเรียนมัธยมศึกษา","กลาง",8,6,2,3,1,1,1,1,1,0,0,1,2,3,4,2,NA,5,4,2,1,"เหนือ",2,1,0,1,1,2,2,2,5,3,4,2,2,2,1,5,1,2,NA,46.9842426499454,2,1,1,39.8204196780423
"36",36,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,0,1,1,1,1,1,1,3,5,NA,5,3,3,3,2,1,"กลาง",2,1,0,1,1,1,2,3,3,3,2,2,1,2,2,4,2,1,2,45.437836939756,2,2,1,41.9900425682822
"37",37,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,2,1,1,0,0,1,0,1,1,3,5,3,5,2,2,3,1,1,"กลาง",1,1,0,1,1,1,2,2,3,4,4,2,2,1,5,2,3,2,NA,47.0777610477369,2,1,1,33.6795893442246
"38",38,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,3,1,1,1,1,0,1,1,1,2,5,2,NA,3,2,5,2,1,"กลาง",1,1,0,1,1,NA,1,3,3,3,3,2,2,3,1,3,2,1,1,44.1601788558012,1,2,2,36.9410865522612
"39",39,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,3,0,0,0,0,0,1,0,1,3,3,5,4,4,NA,3,2,1,"กลาง",2,NA,0,1,1,1,2,3,3,3,4,1,2,2,1,2,2,2,1,56.3486180024562,1,1,1,25.5139125500405
"40",40,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,5,0,0,1,0,1,1,0,1,3,5,5,2,5,3,2,1,1,"กลาง",2,0,0,1,1,2,2,3,3,3,4,2,2,1,5,5,2,2,3,47.9017033181583,1,1,1,36.0187956438384
"41",41,"โรงเรียนมัธยมศึกษา","กลาง",7,4,3,4,0,1,1,1,0,1,0,1,3,4,NA,4,5,5,5,1,1,"กลาง",2,1,0,1,1,1,2,3,4,4,3,NA,2,2,4,1,1,1,2,26.7214145705532,1,1,1,29.2731294269195
"42",42,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,1,1,0,1,1,0,1,2,4,5,NA,4,2,2,2,1,"กลาง",1,1,0,1,1,2,2,3,3,3,3,1,2,2,NA,5,2,1,1,38.9078723814068,1,1,1,21.2585121950859
"43",43,"โรงเรียนมัธยมศึกษา","กลาง",8,3,5,2,0,1,1,1,1,1,1,1,2,3,4,4,5,NA,3,1,1,"กลาง",1,1,1,1,1,2,2,3,3,2,3,1,2,2,4,2,1,2,2,41.6334760464377,1,1,1,44.6667365525241
"44",44,"โรงเรียนมัธยมศึกษา","กลาง",8,2,6,2,0,0,1,1,1,1,1,1,3,4,5,5,1,1,3,2,1,"กลาง",2,1,0,1,1,2,2,3,3,3,4,2,1,1,2,5,2,2,3,39.7975377754859,1,1,1,38.5887430924437
"45",45,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,4,0,1,0,1,1,0,1,2,2,3,3,3,2,1,1,1,1,"กลาง",1,1,0,1,1,1,NA,3,3,3,2,3,2,2,4,5,3,4,2,50.5973648234597,1,2,1,43.6861294328917
"46",46,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,0,1,0,0,1,0,1,1,3,3,3,4,3,3,NA,2,1,"กลาง",2,0,0,1,1,1,1,3,2,3,2,2,2,1,5,2,1,1,2,35.8903405711268,1,2,2,45.2149369551193
"47",47,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,1,1,0,1,0,1,2,2,2,5,3,2,1,2,1,1,"อิสาน",1,1,NA,1,1,1,2,2,5,4,5,2,1,1,5,3,1,1,1,53.6732736656402,1,2,2,33.1783052130423
"48",48,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,2,3,NA,5,4,4,3,5,2,1,"กลาง",2,1,1,1,1,2,2,1,3,2,3,2,2,2,1,1,1,1,1,29.819633517816,1,1,2,36.2508640425902
"49",49,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,5,1,1,1,0,0,0,1,1,3,3,5,5,3,4,NA,1,1,"กลาง",1,1,1,1,1,NA,3,2,5,5,4,1,1,1,1,4,1,3,3,57.9655230844218,1,2,1,46.1001708165015
"50",50,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,4,0,0,1,0,1,1,1,1,2,NA,3,5,5,4,5,2,1,"กลาง",1,1,1,1,1,1,3,2,5,5,4,3,2,2,3,1,2,3,2,45.7368715539854,1,2,1,28.6599059135188
"51",51,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,2,0,0,0,0,0,0,0,1,3,5,NA,5,2,3,2,2,1,"กลาง",3,1,0,1,1,1,1,1,3,2,2,2,2,2,1,1,3,2,1,41.5549655723515,1,2,2,38.0626625850768
"52",52,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,5,4,5,NA,3,3,2,1,"กลาง",2,1,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,57.8882939656884,NA,1,2,38.9457599794636
"53",53,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,4,5,2,4,NA,4,1,1,"กลาง",1,1,0,1,1,1,2,1,2,3,3,1,2,3,4,1,1,1,3,40.669711132811,1,1,1,31.0155793828595
"54",54,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,3,1,1,1,0,0,1,1,1,3,4,4,5,4,NA,3,2,1,"กลาง",1,1,0,1,1,1,2,2,5,3,3,2,2,2,4,3,2,2,NA,47.3661765123329,1,1,3,43.240395276155
"55",55,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,3,0,1,1,0,1,0,1,1,3,4,5,5,5,3,NA,2,1,"กลาง",1,0,0,1,1,1,1,3,2,3,3,2,1,2,1,1,1,2,1,35.5777784180185,1,1,1,43.6647030778898
"56",56,"โรงเรียนมัธยมศึกษา","กลาง",7,3,4,2,0,0,1,0,1,1,1,2,3,4,3,4,NA,5,4,2,1,"กลาง",2,1,0,1,1,1,1,1,3,2,3,2,3,3,5,1,2,3,3,46.7831731302562,1,2,1,37.0577750167641
"57",57,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,0,1,0,0,0,1,1,2,2,NA,1,3,3,5,5,1,1,"กลาง",2,1,0,1,1,1,1,3,2,3,3,2,3,2,5,4,1,2,1,39.9808551161416,1,2,1,27.7981738919392
"58",58,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,3,0,0,1,0,1,0,1,1,2,4,NA,2,4,5,5,2,1,"กลาง",1,1,0,1,1,1,1,3,3,2,2,2,2,2,2,1,1,2,2,40.6337321724745,1,1,1,32.3349213679494
"59",59,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,0,1,0,1,1,0,1,3,4,5,3,NA,3,3,1,1,"กลาง",1,1,0,1,1,1,2,2,3,3,4,2,2,1,1,2,1,2,2,35.6090326910992,2,1,2,42.2647170529949
"60",60,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,0,1,0,1,1,0,1,1,3,NA,4,5,2,2,5,1,1,"กลาง",1,1,0,1,1,2,1,3,NA,3,3,1,2,2,3,2,2,3,2,38.0698909467323,2,2,1,38.744768975506
"61",61,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,2,3,4,3,4,2,4,NA,1,1,"กลาง",1,1,0,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,41.5019825346773,1,1,NA,26.9442374305031
"62",62,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,3,2,3,3,2,3,1,1,"กลาง",1,1,1,1,1,1,2,1,2,3,3,2,3,2,2,1,2,1,1,41.0039951026765,1,1,1,25.1751548468798
"63",63,"โรงเรียนมัธยมศึกษา","กลาง",7,3,4,2,0,0,0,1,1,1,1,2,2,5,4,4,5,3,2,1,1,"อิสาน",1,1,1,1,1,NA,3,2,3,4,5,2,3,2,5,2,3,2,3,50.6168897740175,1,1,1,34.9454815230827
"64",64,"โรงเรียนมัธยมศึกษา","กลาง",8,3,5,2,1,1,1,0,1,0,0,2,3,3,NA,2,2,1,2,2,1,"กลาง",2,1,1,1,1,NA,3,3,4,3,3,2,2,3,5,2,2,1,2,53.7989224467709,1,1,1,33.5768929894317
"65",65,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,5,0,1,1,0,0,0,0,1,3,4,4,3,2,2,2,1,1,"กลาง",2,1,0,1,1,2,1,1,3,2,2,2,2,1,3,4,1,1,1,44.6757850034735,1,2,1,39.7448546076566
"66",66,"โรงเรียนมัธยมศึกษา","กลาง",7,2,5,2,0,1,1,0,0,1,0,1,2,3,4,3,1,1,3,1,1,"กลาง",2,NA,1,1,1,1,2,3,3,3,3,2,2,2,4,2,2,2,2,43.3429716502745,1,2,2,45.7305667851939
"67",67,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,4,1,1,1,0,0,1,1,1,3,5,4,5,3,2,2,1,1,"กลาง",1,1,NA,1,1,1,2,2,4,4,4,2,2,2,5,4,2,3,3,57.9630545639501,1,1,1,32.3313773271532
"68",68,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,3,0,1,0,1,1,1,1,2,2,4,4,NA,3,4,5,1,1,"กลาง",2,1,1,1,0,2,2,3,3,3,3,1,2,1,2,2,4,3,1,49.2523758283041,NA,1,2,43.9525373168912
"69",69,"โรงเรียนมัธยมศึกษา","กลาง",8,2,6,1,0,1,1,1,1,1,0,1,3,4,5,2,1,NA,1,1,1,"กลาง",3,1,0,1,1,1,3,3,3,3,4,2,2,1,3,3,2,NA,2,59.2382880273029,1,3,1,42.9600682275354
"70",70,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,5,0,0,1,1,0,1,1,2,3,NA,4,2,5,4,5,1,1,"กลาง",2,1,0,1,1,1,1,3,3,3,2,2,2,2,4,3,1,2,2,38.7410637924025,1,1,1,36.1112657315757
"71",71,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,3,1,0,0,0,1,0,1,2,2,4,5,3,5,NA,3,1,1,"กลาง",1,1,1,1,1,1,3,2,5,3,3,2,1,3,5,5,2,2,NA,52.3468873672639,2,1,1,40.6019958861996
"72",72,"โรงเรียนมัธยมศึกษา","กลาง",8,3,5,2,1,1,1,1,0,1,1,1,3,3,5,5,2,2,3,2,1,"กลาง",2,1,0,1,1,2,1,3,3,3,NA,2,2,2,2,5,1,2,1,30.0463565453907,1,1,1,35.8081059474903
"73",73,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,3,0,0,1,0,1,1,1,1,3,5,5,5,NA,2,3,2,1,"กลาง",1,1,0,1,0,2,1,1,2,2,2,2,1,2,3,1,1,2,1,39.9413366937069,1,1,1,25.3294489122664
"74",74,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,0,0,0,0,1,1,1,2,5,4,NA,2,2,3,2,1,"กลาง",2,1,0,1,1,1,1,3,3,3,2,2,2,1,5,1,3,2,3,41.2821337892931,2,2,1,44.2489891422561
"75",75,"โรงเรียนมัธยมศึกษา","กลาง",9,4,5,3,1,1,0,1,1,0,0,1,2,1,4,2,3,3,4,1,1,"กลาง",2,1,1,0,1,1,2,3,3,3,3,3,2,3,2,5,1,1,2,50.7059766902836,1,2,3,48.4350189118789
"76",76,"โรงเรียนมัธยมศึกษา","กลาง",8,1,7,1,1,0,1,0,1,1,1,1,2,4,5,5,3,NA,5,1,1,"กลาง",1,1,0,1,1,1,3,2,3,3,5,2,2,2,2,4,4,2,3,44.3625996282509,2,NA,2,42.1785833865709
"77",77,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,1,0,0,0,0,0,0,0,1,2,2,5,3,3,3,2,2,1,"เหนือ",1,1,0,1,1,1,1,NA,2,2,2,2,3,2,5,1,1,1,1,46.0729484806681,3,2,2,55.8207296420925
"78",78,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,1,0,0,0,0,0,0,0,1,3,3,4,3,1,1,1,1,1,"กลาง",2,1,0,1,1,2,1,1,2,1,1,2,2,1,2,3,1,1,1,44.8024002655133,3,2,1,38.5422375693382
"79",79,"โรงเรียนมัธยมศึกษา","กลาง",8,6,2,2,0,1,1,1,0,1,1,1,3,NA,5,5,3,4,2,2,1,"กลาง",2,1,0,NA,0,2,2,3,3,3,3,1,1,2,2,4,2,3,2,47.8885035908933,2,2,1,44.2855480237369
"80",80,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,3,3,3,4,5,2,2,1,"กลาง",1,1,0,1,1,1,1,1,2,1,1,2,2,2,5,1,3,2,2,47.304979842697,1,2,1,27.5706756086614
"81",81,"โรงเรียนมัธยมศึกษา","กลาง",9,0,9,2,0,0,0,0,0,0,0,2,2,3,NA,5,5,5,5,1,1,"กลาง",2,0,0,1,1,2,1,1,3,2,2,2,2,2,5,1,1,1,1,22.8499640765884,1,1,1,37.4879017444177
"82",82,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,0,1,1,0,1,1,0,1,3,4,5,5,4,4,NA,1,1,"กลาง",1,1,1,1,1,1,3,2,5,5,4,2,2,2,3,1,5,3,3,61.241022360683,1,NA,1,28.5084084053459
"83",83,"โรงเรียนมัธยมศึกษา","กลาง",9,1,8,1,0,0,1,0,0,1,1,1,3,5,4,4,5,3,5,1,1,"กลาง",1,1,0,1,1,2,1,1,NA,2,3,2,2,2,5,2,1,1,1,46.0539000972518,1,3,2,30.8463912741323
"84",84,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,0,0,1,0,1,1,0,1,3,5,5,4,5,4,5,2,1,"กลาง",2,1,1,0,1,2,2,3,2,2,3,2,2,2,NA,5,2,3,2,35.4745384189319,1,1,1,41.5679980268087
"85",85,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,1,0,0,1,1,1,2,3,4,5,5,2,1,1,2,1,"กลาง",2,1,1,1,1,1,2,2,5,3,4,2,2,3,3,3,3,NA,1,43.5502595763843,2,3,2,39.6522379410984
"86",86,"โรงเรียนมัธยมศึกษา","กลาง",8,5,3,5,1,1,1,0,0,1,1,1,3,5,5,5,3,2,NA,2,1,"กลาง",1,1,0,1,1,1,1,3,3,3,4,1,1,2,5,1,4,3,3,50.3541227970341,1,1,1,42.6920124048109
"87",87,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,4,0,1,0,0,1,1,1,1,3,4,5,4,1,NA,2,2,1,"กลาง",2,1,0,1,1,1,1,3,4,4,2,2,2,1,5,4,2,2,2,41.7550098129784,1,2,1,22.90412857859
"88",88,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,5,0,0,1,1,1,0,0,1,3,2,5,NA,3,3,4,2,1,"กลาง",1,1,0,1,1,2,2,3,3,3,2,3,2,2,5,5,1,2,2,49.3719507305538,1,2,1,51.0036796080301
"89",89,"โรงเรียนมัธยมศึกษา","กลาง",8,2,6,2,0,1,0,0,0,1,1,1,3,4,4,4,1,1,NA,1,1,"อิสาน",1,1,0,0,1,1,1,1,3,2,1,2,1,2,3,5,1,1,1,27.899711984246,1,1,1,24.5231700810749
"90",90,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,3,1,1,1,1,1,1,0,1,3,4,3,4,NA,3,1,1,1,"กลาง",1,0,1,1,1,1,1,3,3,3,3,2,2,1,2,1,2,2,1,41.836884343433,1,1,1,28.5952377580834
"91",91,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,0,1,0,0,1,0,1,3,5,2,NA,4,5,5,1,1,"กลาง",1,1,0,1,1,2,2,3,3,3,3,2,1,2,NA,1,1,1,1,42.8854457959137,3,2,2,59.1967294075777
"92",92,"โรงเรียนมัธยมศึกษา","กลาง",8,7,1,3,1,1,0,1,0,1,1,1,3,5,4,5,4,3,3,2,1,"กลาง",1,1,0,1,1,1,2,2,3,3,3,NA,2,2,4,3,3,2,3,56.5641039615027,2,1,1,35.554915177391
"93",93,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,0,1,1,1,0,1,1,1,2,1,3,3,1,2,3,1,1,"กลาง",2,1,0,0,1,2,1,3,3,3,4,2,2,2,2,2,3,2,2,40.3591472664039,3,1,2,40.7591006025668
"94",94,"โรงเรียนมัธยมศึกษา","กลาง",7,0,7,1,0,0,0,0,0,0,0,1,2,1,5,3,NA,5,5,1,1,"กลาง",3,1,1,1,1,1,2,3,4,2,2,1,2,2,1,2,2,2,2,46.1021668755611,1,1,1,30.045080599713
